post_id,label
1121,0
319,0
2830,0
1658,1
1237,0
855,0
775,0
1368,0
632,1
2423,1
1099,1
356,1
2602,1
1687,0
578,0
1627,1
1331,1
2731,0
1502,0
2233,0
841,0
2190,1
2178,1
710,1
2472,1
1242,1
327,1
1122,0
366,0
1003,1
328,0
2374,1
1209,0
270,1
862,1
2333,0
229,1
1131,0
2129,0
438,1
1610,1
511,1
2286,1
526,1
10,1
957,1
2739,1
1500,0
1949,0
1156,1
707,0
1445,0
1485,1
750,1
1228,0
913,0
877,0
601,0
369,0
1248,0
1441,1
1733,1
1437,0
2426,0
1336,1
1497,0
324,1
1920,1
2654,1
1146,1
339,1
2659,0
760,0
505,1
1438,1
242,1
1153,1
633,0
2708,0
1767,0
2081,1
1622,0
2802,0
470,1
2309,1
2083,0
1722,1
1199,1
1155,1
856,1
2191,1
1486,0
295,0
2681,0
2801,1
949,1
2243,0
358,1
2186,1
2481,1
1203,1
2364,1
292,1
2685,0
467,1
2103,1
2422,1
1192,0
2810,0
2475,1
535,0
215,0
1432,1
2821,1
2680,1
1803,1
2032,0
2599,1
668,1
1367,0
702,0
2644,0
640,1
501,1
443,0
799,1
124,0
2372,1
130,0
1716,1
1637,1
2721,1
644,1
903,0
21,0
833,1
583,0
386,1
2070,0
1685,1
2715,1
1139,1
1734,0
342,0
1187,1
83,1
2664,1
1555,1
132,0
157,1
2075,0
1386,0
649,1
2437,1
67,1
1212,0
1704,0
1399,0
853,1
754,1
508,0
1698,1
2497,1
161,0
2162,1
579,0
1374,0
2181,0
1777,0
1422,1
243,0
1431,1
2736,0
2037,0
365,1
1712,1
802,0
1965,0
248,1
1570,0
2100,0
2244,1
2604,0
2493,0
2066,1
1930,1
2059,1
1854,0
2387,1
434,0
258,1
61,0
397,1
763,1
1952,0
850,1
226,0
1337,0
2207,1
1775,1
1067,1
529,1
684,0
433,0
564,1
469,1
1523,1
2757,1
675,0
613,0
744,0
1849,0
1858,1
2352,0
571,0
994,1
276,1
1959,0
2829,0
2175,1
826,0
823,0
227,1
478,1
1201,1
1294,0
1474,1
1047,1
2238,1
1177,1
20,1
326,0
1787,0
872,1
2451,1
520,1
714,1
2514,1
207,1
667,0
109,1
1215,1
2700,0
1316,0
283,0
1786,1
1335,0
2730,1
634,1
643,1
1580,0
1379,1
1862,0
1087,0
174,1
2533,1
2789,0
2441,1
1272,1
1806,1
2793,1
2084,0
730,1
1584,1
820,1
607,1
958,0
1089,1
2453,1
1526,0
477,0
2837,1
329,0
1662,0
2407,1
1018,0
213,1
2521,0
2748,1
2634,1
1663,0
2797,0
1847,1
1670,1
2209,0
2444,0
247,1
2400,0
1633,1
2111,1
1880,1
2798,0
28,0
2138,0
313,0
1252,1
114,1
1178,0
901,0
483,0
1302,1
981,0
1234,0
468,0
1982,1
2299,1
1566,1
1339,1
836,1
2649,0
145,0
2440,1
310,0
159,0
1340,0
1659,0
1511,0
2134,0
2090,1
1773,1
14,1
525,1
953,1
1345,1
377,0
2457,0
879,1
1935,1
1468,1
907,0
1645,1
2662,0
2429,1
1006,1
1643,0
436,1
1425,1
2265,1
299,1
1014,1
1031,1
871,1
1223,0
2547,1
926,0
961,0
1439,1
2218,1
944,1
1284,0
2735,1
1401,1
1415,1
2799,1
2631,1
2347,1
2424,1
955,1
2817,0
1975,1
221,1
1349,0
1365,1
2317,1
2606,1
1652,1
101,0
718,1
1689,0
1588,1
2278,1
263,0
2577,1
244,1
2411,1
2614,1
1450,1
383,0
1597,1
2197,0
1693,1
2024,1
1467,1
1886,1
1012,0
2378,0
1990,1
2776,0
350,0
2660,1
1550,0
1403,1
891,1
1980,1
2028,0
2144,1
1376,0
1850,1
2320,0
602,1
1552,0
2402,0
2753,1
1563,1
201,1
2254,1
1498,0
2464,1
